deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p255_060.wav,4.1445684,3.9414308,4.1294594,3.88183,4.3326397,NISQAv2
p295_175.wav,4.23033,4.3720293,3.745195,3.965088,4.202349,NISQAv2
p361_347.wav,4.4756136,3.4338357,3.5012605,4.498856,4.4095716,NISQAv2
p305_117.wav,4.1772156,3.6903331,4.088627,4.350801,4.262963,NISQAv2
p305_181.wav,4.104376,4.4711285,4.333564,4.236444,4.1436543,NISQAv2
p341_132.wav,4.841615,4.6063647,4.8431478,4.6100144,4.6082397,NISQAv2
p284_160.wav,4.8336926,4.632371,4.809469,4.5931973,4.736037,NISQAv2
p302_198.wav,4.5661206,3.9974349,3.943385,4.2975545,4.3803535,NISQAv2
p341_327.wav,4.6790876,4.6171966,4.7093797,4.5963197,4.64907,NISQAv2
p234_346.wav,4.7391453,4.611838,4.742915,4.457437,4.575302,NISQAv2
